Наименование,Тип,Индекс,Административный округ,Район
Большой Ржевский,пер,121069,Центральный административный округ,район Арбат
Большой Рогожский,пер,109147,Центральный административный округ,Таганский район
Большой Саввинский,пер,119435,Центральный административный округ,район Хамовники
Большой Сергиевский,пер,107045,Центральный административный округ,Мещанский район
Большой Спасоглинищевский,пер,101000,Центральный административный округ,Басманный район
Большой Строченовский,пер,115054,Центральный административный округ,район Замоскворечье
Большой Сухаревский,пер,,Центральный административный округ,Мещанский район
Большой Татарский,пер,,Центральный административный округ,район Замоскворечье
Большой Тишинский,пер,123557,Центральный административный округ,Пресненский район
Большой Толмачевский,пер,119017,Центральный административный округ,район Якиманка
Большой Трехгорный,пер,123022,Центральный административный округ,Пресненский район
Большой Трехсвятительский,пер,,Центральный административный округ,Басманный район
Большой Факельный,пер,,Центральный административный округ,Таганский район
Большой Харитоньевский,пер,,Центральный административный округ,Басманный район
Большой Черкасский,пер,109012,Центральный административный округ,Тверской район
Большой Чудов,пер,119034,Центральный административный округ,район Хамовники
Бориса Галушкина,ул,,Северо-Восточный административный округ,Алексеевский район
Бориса Жигуленкова,ул,,Восточный административный округ,район Соколиная Гора
Борисовская,ул,105187,Восточный административный округ,район Соколиная Гора
Борисовские Пруды,ул,,Южный административный округ,район Братеево
Борисовский,проезд,115563,Южный административный округ,район Орехово-Борисово Северное
Борисоглебский,пер,121069,Центральный административный округ,район Арбат
Боровая,ул,111020,Юго-Восточный административный округ,район Лефортово
Боровицкая,пл,119234,Центральный административный округ,Тверской район
Боровская,ул,143344,Троицкий административный округ ,Новофедоровское поселение
Боровская,ул,142784,Новомосковский административный округ,Внуковское поселение
Боровская 2-я,ул,142784,Новомосковский административный округ,Внуковское поселение
Боровская 4-я,ул,142784,Новомосковский административный округ,Внуковское поселение
Боровская 6-я,ул,142784,Новомосковский административный округ,Внуковское поселение
Боровская 7-я,ул,142784,Новомосковский административный округ,Внуковское поселение
Боровский,проезд,119619,Западный административный округ,район Солнцево
Боровский,туп,142784,Западный административный округ,район Солнцево
Боровское,ш,,Западный административный округ,район Солнцево
Боровское,ш,143350,Новомосковский административный округ,Марушкинское поселение
Боровское,ш,143350,Новомосковский административный округ,Марушкинское поселение
Боровское шоссе,ш,142784,Западный административный округ,район Солнцево
Боровской,туп,142784,Новомосковский административный округ,Внуковское поселение
Борьбы,пл,127055,Северо-Восточный административный округ,район Марьина роща
Ботаково,ул,143397,Троицкий административный округ ,Первомайское поселение
Ботаническая,ул,,Северо-Восточный административный округ,район Марфино
Ботанический,пер,129090,Центральный административный округ,Мещанский район
Бочкова,ул,129085,Северо-Восточный административный округ,Останкинский район
Боярский,пер,107078,Центральный административный округ,Басманный район
Братеевская,ул,,Южный административный округ,район Братеево
Братиславская,ул,,Юго-Восточный административный округ,район Марьино
Братская,ул,,Восточный административный округ,район Новогиреево
Братцевская,ул,125373,Северо-Западный административный округ,район Северное Тушино
Братьев Фонченко,ул,121170,Западный административный округ,район Дорогомилово
Бригадирский,пер,105005,Центральный административный округ,Басманный район
Бродников,пер,119180,Центральный административный округ,район Якиманка
Бронницкая,ул,109202,Юго-Восточный административный округ,Нижегородский район
Бронницкий,пер,109202,Юго-Восточный административный округ,Нижегородский район
Брошевский,пер,109147,Центральный административный округ,Таганский район
Брусилова,ул,117148,Юго-Западный административный округ,район Южное Бутово
Брюллова,ул,125080,Северный административный округ,район Сокол
Брюсов,пер,125009,Центральный административный округ,Пресненский район
Брянская,ул,121059,Западный административный округ,район Дорогомилово
Брянский Пост,ул,123007,Центральный административный округ,Пресненский район
Будайская,ул,129128,Северо-Восточный административный округ,район Ростокино
Будайский,проезд,129128,Северо-Восточный административный округ,район Ростокино
Буденного,пр-кт,,Восточный административный округ,район Соколиная Гора
Буженинова,ул,,Восточный административный округ,район Преображенское
Булатниковская,ул,117403,Южный административный округ,район Бирюлево Западное
Булатниковский,проезд,,Южный административный округ,район Бирюлево Западное
Бульварное Кольцо,ул,143397,Троицкий административный округ ,Первомайское поселение
Бумажная,просек,127220,Восточный административный округ,район Метрогородок
Бумажный,проезд,,Северный административный округ,Беговой район
Бунинская Аллея,ул,117042,Юго-Западный административный округ,район Южное Бутово
Буракова,ул,105118,Восточный административный округ,район Соколиная Гора
Бурденко,ул,119121,Центральный административный округ,район Хамовники
Бурцевская,ул,141411,Северный административный округ,Молжаниновский район
Бусиновская Горка,ул,125599,Северный административный округ,район Западное Дегунино
Бусиновский,проезд,124489,Северный административный округ,Дмитровский район
Бутиковский,пер,119034,Центральный административный округ,район Хамовники
Бутлерова,ул,,Юго-Западный административный округ,район Коньково
Бутовская,ул,115516,Южный административный округ,район Бирюлево Восточное
Бутовский,туп,142172,Новомосковский административный округ,поселение Щербинка
Бутовское Кольцо,ул,142172,Новомосковский административный округ,поселение Щербинка
Бутырская,ул,127015,Северо-Восточный административный округ,Бутырский район
Бутырский Вал,ул,,Центральный административный округ,Тверской район
Быковская,ул,142172,Новомосковский административный округ,поселение Щербинка
В,мкр,142191,Троицкий административный округ ,поселение Троицк
Вавилова,ул,,Юго-Западный административный округ,Академический район
Вагоноремонтная,ул,,Северный административный округ,Дмитровский район
Вадковский,пер,127055,Центральный административный округ,Тверской район
Валдайский,проезд,125445,Северный административный округ,Левобережный район
Валовая,ул,115054,Центральный административный округ,район Замоскворечье
Валуевская 1-я,ул,142780,Новомосковский административный округ,Филимонковское поселение
Валуевская 2-я,ул,142780,Новомосковский административный округ,Филимонковское поселение
Валуевская 3-я,ул,142780,Новомосковский административный округ,Филимонковское поселение
Валуевская 4-я,ул,142780,Новомосковский административный округ,Филимонковское поселение
Валуевская 5-я,ул,142780,Новомосковский административный округ,Филимонковское поселение
Валуевское,ш,142784,Новомосковский административный округ,поселение Московский
Варваринская,ул,119618,Западный административный округ,район Солнцево
Варварка,ул,,Центральный административный округ,Тверской район
Варварские Ворота,пл,109240,Центральный административный округ,Тверской район
Варсонофьевский,пер,107031,Центральный административный округ,Мещанский район
Варшавское,ш,,Южный административный округ,район Чертаново Центральное
Варшавское шоссе,ул,142172,Южный административный округ,район Чертаново Центральное
"Варшавское шоссе, 28-й км (п Воскресенское)",км,142791,Южный административный округ,район Чертаново Центральное
"Варшавское шоссе, 64-й (п Вороновское)",км,142160,Южный административный округ,район Чертаново Центральное
Василисы Кожиной,ул,121096,Западный административный округ,район Филевский парк
Василия Ботылева,ул,121500,Западный административный округ,район Кунцево
Василия Петушкова,ул,125476,Северо-Западный административный округ,район Южное Тушино
Васильевская,ул,123056,Центральный административный округ,Пресненский район
Васильевский Спуск,пл,109012,Центральный административный округ,Тверской район
Васильцовский,пер,109125,Юго-Восточный административный округ,Рязанский район
Васильцовский Стан,ул,109125,Юго-Восточный административный округ,Рязанский район
Васнецова,пер,129090,Центральный административный округ,Мещанский район
Ватутина,ул,142150,Троицкий административный округ ,Краснопахорское поселение
Ватутина,ул,121357,Западный административный округ,район Фили-Давыдково
Введенского,ул,,Юго-Западный административный округ,район Коньково
Ввц,тер,129223,Троицкий административный округ ,Щаповское поселение
Ведерников,пер,109029,Центральный административный округ,Таганский район
Веерная,ул,119501,Западный административный округ,район Очаково-Матвеевское
Вековая,ул,109544,Центральный административный округ,Таганский район
Велозаводская,ул,,Южный административный округ,Даниловский район
Вельяминовская,ул,105318,Восточный административный округ,район Соколиная Гора
Веневская,ул,,Юго-Западный административный округ,район Южное Бутово
Веневская,ул,142160,Троицкий административный округ ,Вороновское поселение
Венецианова,ул,125080,Северный административный округ,район Сокол
Вербилковский,проезд,127591,Северный административный округ,район Восточное Дегунино
Вербная,ул,142150,Троицкий административный округ ,Краснопахорское поселение
Вербная,ул,143340,Троицкий административный округ ,Новофедоровское поселение
Вербная,ул,107143,Восточный административный округ,район Метрогородок
Верейская,ул,,Западный административный округ,Можайский район
Вересаева,ул,121357,Западный административный округ,Можайский район
Вересковая,ул,129329,Северо-Восточный административный округ,район Свиблово
Верещагина,ул,125080,Северный административный округ,район Сокол
Верземнека,ул,129272,Центральный административный округ,Мещанский район
Вернадского,пр-кт,,Юго-Западный административный округ,Ломоносовский район
Вернисажная,ул,105187,Восточный административный округ,район Измайлово
Вертолетчиков,ул,111674,Юго-Восточный административный округ,район Некрасовка
Верхнелихоборская,ул,127238,Северный административный округ,район Западное Дегунино
Верхние Поля,ул,,Юго-Восточный административный округ,район Марьино
Верхний Журавлев,пер,107023,Восточный административный округ,район Соколиная Гора
Верхний Золоторожский,пер,111033,Юго-Восточный административный округ,район Лефортово
Верхний Михайловский Поперечный,проезд,115419,Южный административный округ,Донской район
Верхний Новоспасский,проезд,115172,Центральный административный округ,Таганский район
Верхний Предтеченский,пер,123242,Центральный административный округ,Пресненский район
Верхний Таганский,туп,109240,Центральный административный округ,Таганский район
Верхняя,аллея,,Северный административный округ,Тимирязевский район
Верхняя,ул,142784,Новомосковский административный округ,Внуковское поселение
Верхняя,ул,125040,Северный административный округ,Беговой район
Верхняя,ул,142784,Новомосковский административный округ,поселение Московский
Верхняя,ул,143397,Троицкий административный округ ,Первомайское поселение
Верхняя,ул,142784,Новомосковский административный округ,Внуковское поселение
Верхняя,ул,143396,Троицкий административный округ ,Первомайское поселение
Верхняя,ул,142791,Новомосковский административный округ,Воскресенское поселение
Верхняя,ул,143344,Троицкий административный округ ,Новофедоровское поселение
Верхняя Красносельская,ул,107140,Центральный административный округ,Красносельский район
Верхняя Масловка,ул,127083,Северный административный округ,Савеловский район
Верхняя Первомайская,ул,,Восточный административный округ,район Измайлово
Верхняя Радищевская,ул,109240,Центральный административный округ,Таганский район
Верхняя Сыромятническая,ул,105120,Центральный административный округ,Басманный район
Верхняя Хохловка,ул,109052,Юго-Восточный административный округ,Нижегородский район
Верхоянская,ул,129344,Северо-Восточный административный округ,Бабушкинский район
Веселая,ул,143390,Троицкий административный округ ,Первомайское поселение
Веселая,ул,143397,Троицкий административный округ ,Первомайское поселение
Веселая,ул,115516,Южный административный округ,район Царицыно
Веселая,ул,143396,Троицкий административный округ ,Первомайское поселение
Весенняя,ул,143396,Троицкий административный округ ,Первомайское поселение
Весенняя,ул,143381,Троицкий административный округ ,поселение Киевский
Весенняя,ул,142172,Новомосковский административный округ,поселение Щербинка
Весенняя,ул,143344,Троицкий административный округ ,Новофедоровское поселение
Весенняя,ул,142160,Троицкий административный округ ,Вороновское поселение
Весенняя,ул,142780,Новомосковский административный округ,Филимонковское поселение
Весенняя,ул,142150,Троицкий административный округ ,Краснопахорское поселение
Весенняя,ул,142791,Новомосковский административный округ,Воскресенское поселение
Весенняя,ул,142134,Новомосковский административный округ,Рязановское поселение
Весенняя,ул,142791,Новомосковский административный округ,Воскресенское поселение
Весенняя,ул,143396,Троицкий административный округ ,Первомайское поселение
Весенняя,ул,142150,Троицкий административный округ ,Краснопахорское поселение
Весенняя,ул,142191,Троицкий административный округ ,поселение Троицк
Весенняя,ул,143380,Троицкий административный округ ,поселение Киевский
Весенняя,ул,143396,Троицкий административный округ ,Первомайское поселение
Весенняя,ул,142160,Троицкий административный округ ,Вороновское поселение
Весенняя,ул,142134,Новомосковский административный округ,Рязановское поселение
Весенняя,ул,143396,Троицкий административный округ ,Первомайское поселение
